Time,PosX,PosY,Alt,VelN,VelE,VelD,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz,TAS,Alpha,Beta,Elevator,Aileron,Rudder,Throttle,AccZ,Lat,Lon,GPS_Alt,GPS_Spd
0.0000,1.5000,0.0000,2999.9995,149.9968,0.0000,0.0977,0.0000,-0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-0.0000,0.000000,0.000000,0.00,0.00
0.0100,2.9999,0.0000,2999.9980,149.9936,0.0000,0.1945,0.0000,-0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9968,0.0373,0.0000,0.0000,0.0000,0.0000,0.6000,-0.0803,0.000000,0.000000,0.00,0.00
0.0200,4.4999,0.0000,2999.9956,149.9904,0.0000,0.2905,0.0000,-0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9937,0.0743,0.0000,0.0000,0.0000,0.0000,0.6000,-0.1598,0.000000,0.000000,0.00,0.00
0.0300,5.9997,0.0000,2999.9922,149.9872,0.0000,0.3858,0.0000,-0.0001,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9907,0.1110,0.0000,0.0000,0.0000,0.0000,0.6000,-0.2388,0.000000,0.000000,0.00,0.00
0.0400,7.4996,0.0000,2999.9879,149.9840,0.0000,0.4801,0.0000,-0.0001,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9877,0.1474,0.0000,0.0000,0.0000,0.0000,0.6000,-0.3170,0.000000,0.000000,0.00,0.00
0.0500,8.9994,0.0000,2999.9826,149.9808,0.0000,0.5737,0.0000,-0.0002,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9847,0.1834,0.0000,0.0000,0.0000,0.0000,0.6000,-0.3945,0.000000,0.000000,0.00,0.00
0.0600,10.4992,0.0000,2999.9764,149.9776,0.0000,0.6664,0.0000,-0.0003,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9819,0.2192,0.0000,0.0000,0.0000,0.0000,0.6000,-0.4714,0.000000,0.000000,0.00,0.00
0.0700,11.9990,0.0000,2999.9693,149.9744,0.0000,0.7583,0.0000,-0.0004,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9790,0.2546,0.0000,0.0000,0.0000,0.0000,0.6000,-0.5476,0.000000,0.000000,0.00,0.00
0.0800,13.4987,0.0000,2999.9612,149.9712,0.0000,0.8493,0.0000,-0.0006,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9763,0.2897,0.0000,0.0000,0.0000,0.0000,0.6000,-0.6230,0.000000,0.000000,0.00,0.00
0.0900,14.9984,0.0000,2999.9523,149.9680,0.0000,0.9394,0.0000,-0.0008,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9736,0.3245,0.0000,0.0000,0.0000,0.0000,0.6000,-0.6978,0.000000,0.000000,0.00,0.00
0.1000,16.4981,0.0000,2999.9424,149.9648,0.0000,1.0287,0.0000,-0.0010,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9709,0.3589,0.0000,0.0000,0.0000,0.0000,0.6000,-0.7719,0.000000,0.000000,0.00,0.00
0.1100,17.9977,0.0000,2999.9317,149.9617,0.0000,1.1172,0.0000,-0.0014,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9684,0.3930,0.0000,0.0000,0.0000,0.0000,0.6000,-0.8453,0.000000,0.000000,0.00,0.00
0.1200,19.4973,0.0000,2999.9200,149.9585,0.0000,1.2048,0.0000,-0.0017,0.0000,1.0000,0.0000,-0.0000,0.0000,149.9658,0.4268,0.0000,0.0000,0.0000,0.0000,0.6000,-0.9179,0.000000,0.000000,0.00,0.00
