Time,PosX,PosY,Alt,VelN,VelE,VelD,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz,TAS,Alpha,Beta,Elevator,Aileron,Rudder,Throttle,AccZ,Lat,Lon,GPS_Alt,GPS_Spd
0.0000,1.1999,0.0000,1999.9992,59.9873,0.0000,0.0844,0.0060,0.0025,0.0000,1.0000,0.0001,0.0000,-0.0000,60.0000,0.0000,0.0000,-0.0000,0.0175,0.0000,0.0000,-5.6441,37.774900,-122.419400,2000.00,60.00
0.0200,2.3995,0.0000,1999.9967,59.9748,0.0001,0.1716,0.0221,0.0100,0.0000,1.0000,0.0002,0.0001,-0.0000,59.9874,0.0806,0.0000,-0.0016,0.0175,0.0000,0.0006,-5.7856,37.774911,-122.419400,2000.00,59.99
0.0400,3.5989,0.0000,1999.9927,59.9624,0.0003,0.2614,0.0464,0.0226,0.0000,1.0000,0.0004,0.0002,-0.0000,59.9750,0.1639,0.0001,-0.0023,0.0175,0.0000,0.0013,-5.9136,37.774922,-122.419400,2000.00,59.97
0.0600,4.7980,0.0000,1999.9873,59.9500,0.0007,0.3535,0.0770,0.0403,0.0000,1.0000,0.0007,0.0004,-0.0000,59.9629,0.2497,0.0003,-0.0029,0.0174,0.0000,0.0019,-6.0565,37.774932,-122.419400,1999.99,59.96
0.0800,5.9969,0.0000,1999.9803,59.9376,0.0013,0.4477,0.1127,0.0629,0.0000,1.0000,0.0010,0.0005,-0.0000,59.9510,0.3378,0.0007,-0.0034,0.0174,0.0000,0.0025,-6.2041,37.774943,-122.419400,1999.99,59.95
0.1000,7.1955,0.0000,1999.9720,59.9253,0.0021,0.5439,0.1522,0.0903,0.0001,1.0000,0.0013,0.0008,-0.0000,59.9393,0.4280,0.0012,-0.0039,0.0173,0.0000,0.0031,-6.3562,37.774954,-122.419400,1999.98,59.94
0.1200,8.3939,0.0000,1999.9624,59.9130,0.0032,0.6417,0.1949,0.1224,0.0002,1.0000,0.0017,0.0011,-0.0000,59.9278,0.5200,0.0020,-0.0043,0.0173,0.0000,0.0036,-6.5122,37.774965,-122.419400,1999.97,59.93
0.1400,9.5921,0.0001,1999.9515,59.9006,0.0045,0.7410,0.2400,0.1588,0.0003,1.0000,0.0021,0.0014,-0.0000,59.9164,0.6137,0.0030,-0.0046,0.0173,0.0000,0.0042,-6.6719,37.774975,-122.419400,1999.96,59.91
0.1600,10.7900,0.0001,1999.9394,59.8883,0.0061,0.8413,0.2871,0.1995,0.0004,1.0000,0.0025,0.0017,-0.0000,59.9052,0.7087,0.0043,-0.0049,0.0173,0.0000,0.0048,-6.8346,37.774986,-122.419400,1999.95,59.90
0.1800,11.9877,0.0002,1999.9262,59.8758,0.0079,0.9424,0.3356,0.2441,0.0006,1.0000,0.0029,0.0021,-0.0000,59.8942,0.8048,0.0058,-0.0051,0.0172,0.0000,0.0053,-6.9999,37.774997,-122.419400,1999.94,59.89
0.2000,13.1852,0.0002,1999.9119,59.8633,0.0101,1.0441,0.3854,0.2925,0.0009,1.0000,0.0034,0.0026,-0.0000,59.8832,0.9017,0.0076,-0.0053,0.0172,0.0000,0.0059,-7.1672,37.775008,-122.419400,1999.93,59.88
0.2200,14.3824,0.0003,1999.8967,59.8507,0.0125,1.1459,0.4360,0.3443,0.0012,1.0000,0.0038,0.0030,-0.0000,59.8724,0.9992,0.0096,-0.0053,0.0172,0.0000,0.0065,-7.3361,37.775018,-122.419400,1999.91,59.87
0.2400,15.5795,0.0004,1999.8805,59.8380,0.0152,1.2477,0.4874,0.3993,0.0016,1.0000,0.0043,0.0035,-0.0000,59.8617,1.0969,0.0120,-0.0054,0.0172,0.0000,0.0070,-7.5060,37.775029,-122.419400,1999.90,59.86
0.2600,16.7762,0.0006,1999.8635,59.8253,0.0182,1.3489,0.5394,0.4572,0.0021,1.0000,0.0047,0.0040,-0.0000,59.8510,1.1945,0.0146,-0.0053,0.0172,0.0000,0.0076,-7.6763,37.775040,-122.419400,1999.88,59.85
0.2800,17.9728,0.0007,1999.8456,59.8124,0.0214,1.4495,0.5918,0.5176,0.0027,1.0000,0.0052,0.0045,-0.0000,59.8405,1.2917,0.0174,-0.0052,0.0172,0.0000,0.0081,-7.8464,37.775051,-122.419400,1999.86,59.83
0.3000,19.1692,0.0009,1999.8271,59.7994,0.0249,1.5490,0.6445,0.5802,0.0033,1.0000,0.0056,0.0051,0.0000,59.8299,1.3882,0.0205,-0.0051,0.0172,0.0000,0.0086,-8.0158,37.775061,-122.419400,1999.85,59.82
0.3200,20.3653,0.0012,1999.8079,59.7863,0.0286,1.6471,0.6975,0.6448,0.0041,1.0000,0.0061,0.0056,0.0000,59.8195,1.4838,0.0238,-0.0049,0.0172,-0.0000,0.0092,-8.1840,37.775072,-122.419400,1999.83,59.81
0.3400,21.5612,0.0015,1999.7882,59.7732,0.0326,1.7435,0.7507,0.7109,0.0050,1.0000,0.0066,0.0062,0.0000,59.8090,1.5780,0.0274,-0.0047,0.0172,-0.0000,0.0097,-8.3502,37.775083,-122.419400,1999.81,59.80
0.3600,22.7569,0.0018,1999.7679,59.7599,0.0368,1.8379,0.8041,0.7783,0.0061,1.0000,0.0070,0.0068,0.0000,59.7986,1.6707,0.0312,-0.0044,0.0172,-0.0000,0.0103,-8.5141,37.775094,-122.419400,1999.79,59.79
0.3800,23.9524,0.0022,1999.7471,59.7466,0.0413,1.9300,0.8576,0.8465,0.0072,0.9999,0.0075,0.0074,0.0000,59.7882,1.7615,0.0353,-0.0041,0.0171,-0.0001,0.0108,-8.6750,37.775104,-122.419400,1999.77,59.78
0.4000,25.1477,0.0026,1999.7260,59.7332,0.0459,2.0196,0.9111,0.9153,0.0085,0.9999,0.0080,0.0080,0.0000,59.7778,1.8502,0.0395,-0.0037,0.0171,-0.0001,0.0114,-8.8323,37.775115,-122.419400,1999.75,59.77
0.4200,26.3427,0.0031,1999.7045,59.7198,0.0507,2.1063,0.9647,0.9844,0.0099,0.9999,0.0084,0.0086,0.0000,59.7674,1.9364,0.0440,-0.0034,0.0171,-0.0001,0.0119,-8.9857,37.775126,-122.419400,1999.73,59.76
0.4400,27.5375,0.0036,1999.6828,59.7063,0.0558,2.1900,1.0184,1.0533,0.0115,0.9999,0.0089,0.0092,0.0000,59.7569,2.0200,0.0487,-0.0029,0.0171,-0.0001,0.0124,-9.1346,37.775137,-122.419400,1999.70,59.75
0.4600,28.7322,0.0042,1999.6608,59.6927,0.0610,2.2703,1.0721,1.1217,0.0132,0.9999,0.0094,0.0098,0.0000,59.7464,2.1006,0.0535,-0.0025,0.0171,-0.0002,0.0130,-9.2785,37.775147,-122.419400,1999.68,59.74
0.4800,29.9266,0.0049,1999.6387,59.6792,0.0663,2.3471,1.1258,1.1894,0.0150,0.9999,0.0098,0.0104,0.0000,59.7359,2.1781,0.0585,-0.0021,0.0171,-0.0002,0.0135,-9.4170,37.775158,-122.419400,1999.66,59.73
0.5000,31.1208,0.0057,1999.6165,59.6657,0.0718,2.4202,1.1795,1.2561,0.0170,0.9999,0.0103,0.0110,0.0000,59.7254,2.2522,0.0636,-0.0016,0.0171,-0.0003,0.0141,-9.5497,37.775169,-122.419400,1999.64,59.72
0.5200,32.3147,0.0065,1999.5942,59.6522,0.0775,2.4894,1.2332,1.3213,0.0191,0.9999,0.0108,0.0115,0.0000,59.7148,2.3228,0.0689,-0.0011,0.0171,-0.0003,0.0147,-9.6762,37.775180,-122.419400,1999.62,59.70
0.5400,33.5085,0.0074,1999.5720,59.6388,0.0833,2.5544,1.2869,1.3849,0.0214,0.9999,0.0112,0.0121,0.0001,59.7042,2.3896,0.0744,-0.0006,0.0171,-0.0004,0.0152,-9.7961,37.775190,-122.419400,1999.59,59.69
0.5600,34.7021,0.0084,1999.5497,59.6254,0.0891,2.6153,1.3406,1.4465,0.0238,0.9999,0.0117,0.0126,0.0001,59.6935,2.4526,0.0799,-0.0001,0.0171,-0.0004,0.0158,-9.9091,37.775201,-122.419400,1999.57,59.68
0.5800,35.8954,0.0095,1999.5275,59.6121,0.0951,2.6717,1.3943,1.5060,0.0264,0.9998,0.0122,0.0131,0.0001,59.6828,2.5115,0.0856,0.0004,0.0171,-0.0005,0.0163,-10.0149,37.775212,-122.419400,1999.55,59.67
0.6000,37.0885,0.0107,1999.5055,59.5989,0.1011,2.7237,1.4479,1.5630,0.0291,0.9998,0.0126,0.0136,0.0001,59.6720,2.5662,0.0913,0.0009,0.0171,-0.0005,0.0169,-10.1134,37.775222,-122.419400,1999.53,59.66
0.6200,38.2815,0.0120,1999.4836,59.5858,0.1072,2.7712,1.5016,1.6173,0.0319,0.9998,0.0131,0.0141,0.0001,59.6612,2.6167,0.0971,0.0014,0.0170,-0.0006,0.0175,-10.2042,37.775233,-122.419400,1999.51,59.65
0.6400,39.4742,0.0134,1999.4619,59.5728,0.1134,2.8141,1.5552,1.6687,0.0349,0.9998,0.0136,0.0146,0.0001,59.6503,2.6628,0.1030,0.0019,0.0170,-0.0007,0.0181,-10.2872,37.775244,-122.419400,1999.48,59.64
0.6600,40.6666,0.0150,1999.4404,59.5600,0.1196,2.8523,1.6088,1.7171,0.0380,0.9998,0.0140,0.0150,0.0001,59.6394,2.7045,0.1089,0.0024,0.0170,-0.0008,0.0187,-10.3624,37.775255,-122.419400,1999.46,59.63
0.6800,41.8589,0.0166,1999.4192,59.5473,0.1258,2.8859,1.6624,1.7622,0.0413,0.9998,0.0145,0.0154,0.0001,59.6284,2.7418,0.1149,0.0028,0.0170,-0.0008,0.0192,-10.4295,37.775265,-122.419400,1999.44,59.62
0.7000,43.0510,0.0184,1999.3982,59.5348,0.1320,2.9149,1.7159,1.8040,0.0447,0.9998,0.0150,0.0157,0.0002,59.6173,2.7746,0.1209,0.0033,0.0170,-0.0009,0.0198,-10.4885,37.775276,-122.419400,1999.42,59.61
0.7200,44.2428,0.0202,1999.3775,59.5225,0.1383,2.9392,1.7694,1.8422,0.0482,0.9998,0.0154,0.0161,0.0002,59.6063,2.8030,0.1269,0.0037,0.0170,-0.0010,0.0204,-10.5395,37.775287,-122.419400,1999.40,59.60
