Time,PosX,PosY,Alt,VelN,VelE,VelD,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz,TAS,Alpha,Beta,Elevator,Aileron,Rudder,Throttle,AccZ,Lat,Lon,GPS_Alt,GPS_Spd
0.0000,1.1999,-0.0000,1899.9991,59.9874,-0.0001,0.0965,0.0000,0.0082,0.0001,1.0000,-0.0000,0.0001,0.0000,60.0000,0.0000,0.0000,-0.0302,0.0000,0.0000,0.0000,-5.6724,37.618800,-122.375000,1900.00,60.00
0.0200,2.3995,-0.0000,1899.9965,59.9751,-0.0002,0.2039,-0.0000,0.0325,0.0002,1.0000,-0.0000,0.0003,0.0000,59.9875,0.0922,-0.0001,-0.0322,-0.0000,-0.0001,0.0006,-5.6408,37.618811,-122.375000,1900.00,59.99
0.0400,3.5989,-0.0000,1899.9923,59.9627,-0.0000,0.3245,-0.0000,0.0726,0.0000,1.0000,-0.0000,0.0006,0.0000,59.9754,0.1948,-0.0002,-0.0328,-0.0000,0.0000,0.0012,-5.7848,37.618822,-122.375000,1900.00,59.98
0.0600,4.7980,-0.0000,1899.9866,59.9502,0.0007,0.4558,-0.0000,0.1281,-0.0006,1.0000,-0.0000,0.0011,-0.0000,59.9635,0.3101,-0.0000,-0.0333,0.0000,0.0001,0.0018,-6.0418,37.618832,-122.375000,1899.99,59.96
0.0800,5.9969,-0.0000,1899.9795,59.9373,0.0021,0.5987,-0.0000,0.1984,-0.0020,1.0000,-0.0000,0.0017,-0.0000,59.9519,0.4356,0.0006,-0.0336,0.0000,0.0004,0.0024,-6.2208,37.618843,-122.375000,1899.99,59.95
0.1000,7.1956,0.0000,1899.9710,59.9241,0.0044,0.7514,-0.0000,0.2830,-0.0042,1.0000,0.0000,0.0025,-0.0000,59.9403,0.5723,0.0020,-0.0337,0.0000,0.0008,0.0030,-6.4651,37.618854,-122.375000,1899.98,59.94
0.1200,8.3940,0.0000,1899.9613,59.9105,0.0075,0.9135,-0.0000,0.3812,-0.0071,1.0000,0.0000,0.0033,-0.0001,59.9288,0.7184,0.0042,-0.0337,0.0000,0.0011,0.0036,-6.7028,37.618865,-122.375000,1899.97,59.93
0.1400,9.5922,0.0000,1899.9504,59.8961,0.0116,1.0873,-0.0000,0.4924,-0.0111,1.0000,0.0000,0.0043,-0.0001,59.9174,0.8735,0.0071,-0.0335,0.0000,0.0015,0.0042,-6.7767,37.618875,-122.375000,1899.96,59.92
0.1600,10.7901,0.0000,1899.9384,59.8810,0.0170,1.2695,-0.0000,0.6159,-0.0163,1.0000,0.0000,0.0054,-0.0001,59.9059,1.0400,0.0111,-0.0332,0.0000,0.0020,0.0047,-6.9987,37.618886,-122.375000,1899.95,59.90
0.1800,11.9878,0.0000,1899.9254,59.8652,0.0238,1.4576,-0.0000,0.7511,-0.0228,1.0000,0.0000,0.0066,-0.0002,59.8944,1.2145,0.0163,-0.0327,0.0000,0.0025,0.0053,-7.2948,37.618897,-122.375000,1899.94,59.89
